personID,age
1000000000,47
1000000001,29
1000000002,37
1000000003,26
1000000004,31
1000000005,41
1000000006,34
1000000007,44
1000000008,37
1000000009,22
1000000010,27
1000000011,32
1000000012,29
1000000013,40
1000000014,33
1000000015,37
1000000016,41
1000000017,32
1000000018,40
1000000019,39
1000000020,38
1000000021,32
1000000022,34
1000000023,37
1000000024,32
1000000025,34
1000000026,36
1000000027,53
1000000028,38
1000000029,40
1000000030,32
1000000031,34
1000000032,41
1000000033,26
1000000034,38
1000000035,27
1000000036,31
1000000037,37
1000000038,33
1000000039,34
1000000040,30
1000000041,40
1000000042,41
1000000043,42
1000000044,28
1000000045,35
1000000046,25
1000000047,35
1000000048,34
1000000049,41
1000000050,33
1000000051,39
1000000052,37
1000000053,41
1000000054,41
1000000055,18
1000000056,28
1000000057,47
1000000058,35
1000000059,49
1000000060,35
1000000061,29
1000000062,38
1000000063,34
1000000064,32
1000000065,37
1000000066,39
1000000067,32
1000000068,37
1000000069,39
1000000070,37
1000000071,32
1000000072,32
1000000073,34
1000000074,29
1000000075,30
1000000076,33
1000000077,33
1000000078,33
1000000079,41
1000000080,25
1000000081,38
1000000082,46
1000000083,31
1000000084,33
1000000085,39
1000000086,41
1000000087,30
1000000088,34
1000000089,48
1000000090,36
1000000091,35
1000000092,33
1000000093,39
1000000094,31
1000000095,40
1000000096,31
1000000097,48
1000000098,35
1000000099,33
1000000100,29
1000000101,26
1000000102,27
1000000103,37
1000000104,33
1000000105,32
1000000106,34
1000000107,25
1000000108,29
1000000109,36
1000000110,27
1000000111,38
1000000112,29
1000000113,30
1000000114,45
1000000115,40
1000000116,31
1000000117,33
1000000118,30
1000000119,38
1000000120,30
1000000121,30
1000000122,22
1000000123,45
1000000124,43
1000000125,29
1000000126,37
1000000127,25
1000000128,44
1000000129,39
1000000130,30
1000000131,44
1000000132,39
1000000133,30
1000000134,32
1000000135,36
1000000136,30
1000000137,43
1000000138,40
1000000139,38
1000000140,42
1000000141,32
1000000142,25
1000000143,29
1000000144,35
1000000145,40
1000000146,34
1000000147,39
1000000148,34
1000000149,31
1000000150,38
1000000151,39
1000000152,29
1000000153,28
1000000154,36
1000000155,30
1000000156,34
1000000157,32
1000000158,45
1000000159,29
1000000160,45
1000000161,41
1000000162,33
1000000163,31
1000000164,35
1000000165,28
1000000166,34
1000000167,40
1000000168,41
1000000169,47
1000000170,35
1000000171,34
1000000172,26
1000000173,38
1000000174,32
1000000175,29
1000000176,32
1000000177,34
1000000178,31
1000000179,35
1000000180,48
1000000181,38
1000000182,34
1000000183,47
1000000184,38
1000000185,38
1000000186,30
1000000187,37
1000000188,31
1000000189,29
1000000190,31
1000000191,47
1000000192,32
1000000193,39
1000000194,29
1000000195,38
1000000196,37
1000000197,34
1000000198,46
1000000199,29
1000000200,40
1000000201,33
1000000202,37
1000000203,49
1000000204,32
1000000205,34
1000000206,35
1000000207,30
1000000208,33
1000000209,26
1000000210,28
1000000211,37
1000000212,32
1000000213,35
1000000214,33
1000000215,37
1000000216,31
1000000217,25
1000000218,40
1000000219,41
1000000220,45
1000000221,31
1000000222,38
1000000223,30
1000000224,38
1000000225,40
1000000226,45
1000000227,44
1000000228,26
1000000229,36
1000000230,28
1000000231,22
1000000232,31
1000000233,34
1000000234,38
1000000235,36
1000000236,23
1000000237,39
1000000238,33
1000000239,29
1000000240,48
1000000241,38
1000000242,20
1000000243,39
1000000244,36
1000000245,36
1000000246,38
1000000247,42
1000000248,36
1000000249,33
1000000250,39
1000000251,42
1000000252,39
1000000253,26
1000000254,23
1000000255,43
1000000256,33
1000000257,24
1000000258,37
1000000259,27
1000000260,45
1000000261,30
1000000262,38
1000000263,45
1000000264,27
1000000265,38
1000000266,40
1000000267,31
1000000268,32
1000000269,42
1000000270,29
1000000271,40
1000000272,32
1000000273,35
1000000274,35
1000000275,29
1000000276,21
1000000277,31
1000000278,17
1000000279,34
1000000280,36
1000000281,35
1000000282,44
1000000283,27
1000000284,39
1000000285,40
1000000286,38
1000000287,29
1000000288,33
1000000289,29
1000000290,38
1000000291,34
1000000292,35
1000000293,44
1000000294,31
